coorte_abertura_ano,n,taxa_baixa
1990,597841,0.741281
1991,596531,0.722014
1992,512367,0.69158
1993,566146,0.675525
1994,581674,0.659362
1995,578601,0.641585
1996,580629,0.610447
1997,626816,0.578037
1998,545525,0.565976
1999,585193,0.538838
2000,565508,0.530981
2001,570403,0.513814
2002,557971,0.51764
2003,544892,0.4559
2004,983297,0.706391
2005,556729,0.450372
2006,707365,0.404894
2007,663737,0.388637
2008,1131156,0.618597
2009,790516,0.366983
2010,1457298,0.527271
2011,1634696,0.53158
2012,2239035,0.663784
2013,1886504,0.566298
2014,1938742,0.56485
2015,2048407,0.456227
2016,2580960,0.55282
2017,2291299,0.44027
2018,2665164,0.422932
2019,3167836,0.393671
2020,3916077,0.47637
2021,4021666,0.378539
2022,3858625,0.358992
2023,3863304,0.314845
2024,4718699,0.334896
2025,5060188,0.166552
