causa,horizonte,dias,cif,followup_suficiente
COOMISSAO CONTUMAZ,1_ano,365,3.002592616277111e-08,True
COOMISSAO CONTUMAZ,3_anos,1096,6.466863704027539e-08,True
COOMISSAO CONTUMAZ,5_anos,1826,1.446545160899237e-07,True
COOMISSAO CONTUMAZ,10_anos,3652,0.0025726428312744746,True
EXTINCAO - TRATAMENTO DIFERENCIADO DADO AS ME E EPP (LEI COMPLEMENTAR NUMERO 123/2006),1_ano,365,0.0004372696419103609,True
EXTINCAO - TRATAMENTO DIFERENCIADO DADO AS ME E EPP (LEI COMPLEMENTAR NUMERO 123/2006),3_anos,1096,0.0014123528315888214,True
EXTINCAO - TRATAMENTO DIFERENCIADO DADO AS ME E EPP (LEI COMPLEMENTAR NUMERO 123/2006),5_anos,1826,0.00223998050277955,True
EXTINCAO - TRATAMENTO DIFERENCIADO DADO AS ME E EPP (LEI COMPLEMENTAR NUMERO 123/2006),10_anos,3652,0.004529219594371418,True
EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,1_ano,365,0.1431244083928214,True
EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,3_anos,1096,0.23645322552254183,True
EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,5_anos,1826,0.29396119453152186,True
EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,10_anos,3652,0.3766400076811369,True
INAPTIDAO (LEI 11.941/2009 ART.54),1_ano,365,1.2251553729289065e-07,True
INAPTIDAO (LEI 11.941/2009 ART.54),3_anos,1096,1.0003981947425309e-06,True
INAPTIDAO (LEI 11.941/2009 ART.54),5_anos,1826,3.7815770845079833e-06,True
INAPTIDAO (LEI 11.941/2009 ART.54),10_anos,3652,0.003656672800181131,True
OBITO DO MEI - TITULAR FALECIDO,1_ano,365,0.0004979222109920623,True
OBITO DO MEI - TITULAR FALECIDO,3_anos,1096,0.0018299226937178962,True
OBITO DO MEI - TITULAR FALECIDO,5_anos,1826,0.003059864262781038,True
OBITO DO MEI - TITULAR FALECIDO,10_anos,3652,0.0053325378253644825,True
OUTROS_MOTIVOS,1_ano,365,0.0015976418754009934,True
OUTROS_MOTIVOS,3_anos,1096,0.0027426663392244224,True
OUTROS_MOTIVOS,5_anos,1826,0.0036429661310606997,True
OUTROS_MOTIVOS,10_anos,3652,0.005503369686949269,True
REGISTRO CANCELADO,1_ano,365,8.068054245480249e-05,True
REGISTRO CANCELADO,3_anos,1096,0.00013917581822521583,True
REGISTRO CANCELADO,5_anos,1826,0.010870191781123808,True
REGISTRO CANCELADO,10_anos,3652,0.030012269797875774,True
