termo,log_hr,se_log_hr,hazard_ratio,ci_95_inf_hr,ci_95_sup_hr,p_valor,abs_log_hr
coorte_grupo=2025_2026,1.5330918407039322,0.025563640586483975,4.632477585825988,4.406091546442213,4.870495394156838,0.0,1.5330918407039322
coorte_grupo=2020_2024,1.3755105306459328,0.017136968203909888,3.9570964263110135,3.826393406269446,4.092264036799553,0.0,1.3755105306459328
cnae_grupo=94,1.3697286081534636,0.020031575909154456,3.934282818291595,3.7828112147276323,4.09181965889327,0.0,1.3697286081534636
coorte_grupo=2015_2019,1.02827949670452,0.01710928097699173,2.796250735084777,2.7040372181324748,2.891608932388257,0.0,1.02827949670452
coorte_grupo=2010_2014,0.9476950126498674,0.016833277018592836,2.579756494880113,2.4960323120385146,2.6662890303054043,0.0,0.9476950126498674
cnae_grupo=73,0.4568433201592309,0.02543308900279352,1.579081454635457,1.502297167584147,1.6597902826265996,3.8275952083007843e-72,0.4568433201592309
cnae_grupo=56,0.3476856043981735,0.020196204813857796,1.415787062535657,1.3608394749843182,1.4729533080795167,2.035609758955925e-66,0.3476856043981735
cnae_grupo=47,0.29117144147904467,0.018253330552568753,1.337993951949954,1.290972191040993,1.3867284112534455,2.77297454419828e-57,0.29117144147904467
coorte_grupo=2005_2009,0.26048111812398295,0.01986948685432284,1.2975542133632993,1.247994221213005,1.3490823178495224,2.901065826572625e-39,0.26048111812398295
coorte_grupo=2000_2004,0.23449232137834214,0.019447455512560118,1.264266764572341,1.2169844163872572,1.3133861292547542,1.7656604887744678e-33,0.23449232137834214
cnae_grupo=85,0.2574980985536764,0.02603415430320644,1.2936893510971168,1.2293334276541774,1.3614143238061258,4.564563492794006e-23,0.2574980985536764
uf_grupo=EX,-1.409298250531423,0.14840371191823987,0.24431467070117355,0.18265353333954187,0.3267916980771645,2.1731068878494268e-21,1.409298250531423
cnae_grupo=82,0.2207757914673853,0.02426888248214396,1.2470438013568006,1.1891153839570405,1.3077942338340836,9.279912580910151e-20,0.2207757914673853
coorte_grupo=ATE_1994,0.11344935717318547,0.01590044995452835,1.1201351606450038,1.0857652608571824,1.155593039625024,9.68027937838499e-13,0.11344935717318547
cnae_grupo=OUTRAS_DIVISOES,0.11587213103353072,0.018068944444845313,1.1228522849921012,1.0837829482027184,1.163330033936052,1.428914447434664e-10,0.11587213103353072
uf_grupo=MG,0.3156068872345061,0.07153916342548845,1.3710911562333876,1.1917141149618802,1.577468064781242,1.0257831639616417e-05,0.3156068872345061
uf_grupo=RS,0.27178744643280267,0.0719152334506455,1.3123080359103185,1.1397810458660202,1.5109501841261843,0.00015728562116224925,0.27178744643280267
cnae_grupo=49,0.08327494603437119,0.02460593899023205,1.0868405899821798,1.0356696183881144,1.1405398469361614,0.0007134871890185615,0.08327494603437119
uf_grupo=PE,0.22850257712844735,0.07322967497295865,1.2567167638482468,1.0886899052686168,1.450676649883636,0.001806332484534985,0.22850257712844735
uf_grupo=GO,0.2258487478251178,0.07292612462466216,1.2533860735708746,1.0864507275973216,1.4459713722090446,0.001955211659246613,0.2258487478251178
uf_grupo=TO,0.2407714136943929,0.08053918309407986,1.2722301876691207,1.0864521893710621,1.489775312941826,0.002794398327457519,0.2407714136943929
uf_grupo=PR,0.21341843767168722,0.0719893254164383,1.2379025279380516,1.075001387830742,1.425489014267853,0.0030309199936523895,0.21341843767168722
uf_grupo=RR,0.29417170863404946,0.10287163548723602,1.3420143193298728,1.0969647065182555,1.6418052673752543,0.004241759224088438,0.29417170863404946
uf_grupo=AL,0.2224178110249666,0.07791041599704818,1.2490931537456804,1.072203848388875,1.455165180649914,0.004306540823064297,0.2224178110249666
uf_grupo=SC,0.19973315650101742,0.07253017461163375,1.221076878255916,1.0592664353925454,1.4076050111591278,0.0058908841843936565,0.19973315650101742
