grupo,tempo_em_dias,n_risco,n_evento,n_censura,survival_prob,hazard_step,tempo_anos,n_inicial,tempo_max_dias
GERAL,0,67175202,279831,173,0.9958343110006577,0.004165688999342347,0.0,67175202,49086
GERAL,1,66895198,117349,5453,0.9940873969611534,0.001754221581046819,0.0027378507871321013,67175202,49086
GERAL,2,66772396,58930,17281,0.993210064802773,0.0008825503281326013,0.0054757015742642025,67175202,49086
GERAL,3,66696185,53311,21233,0.9924161809882085,0.0007993110850343239,0.008213552361396304,67175202,49086
GERAL,4,66621641,41346,22733,0.9918002784255692,0.0006206091501108476,0.010951403148528405,67175202,49086
GERAL,5,66557562,38453,23946,0.9912272752241253,0.0005777405127910184,0.013689253935660506,67175202,49086
GERAL,6,66495163,40766,22953,0.990619586344533,0.0006130671489593913,0.01642710472279261,67175202,49086
GERAL,7,66431444,43398,4928,0.9899724393578112,0.00065327497622963,0.019164955509924708,67175202,49086
GERAL,8,66383118,35631,5866,0.9894410737177284,0.0005367479123231301,0.02190280629705681,67175202,49086
GERAL,9,66341621,29161,19747,0.9890061568327357,0.00043955814706426907,0.024640657084188913,67175202,49086
GERAL,10,66292713,27629,23178,0.9885939659618156,0.00041677280578334455,0.02737850787132101,67175202,49086
GERAL,11,66241906,27199,24089,0.9881880481840241,0.0004106011080055577,0.030116358658453114,67175202,49086
GERAL,12,66190618,27379,25004,0.9877792953820601,0.00041363868214676586,0.03285420944558522,67175202,49086
GERAL,13,66138235,30852,25801,0.9873185185436529,0.00046647752241952027,0.03559206023271732,67175202,49086
GERAL,14,66081582,35343,6195,0.9867904622026155,0.0005348388905096128,0.038329911019849415,67175202,49086
GERAL,15,66040044,29463,6173,0.9863502170781896,0.00044613840657041357,0.04106776180698152,67175202,49086
GERAL,16,66004408,25208,20937,0.9859735162331171,0.00038191388672102023,0.04380561259411362,67175202,49086
GERAL,17,65958263,23852,23835,0.9856169659050833,0.0003616226218692266,0.04654346338124572,67175202,49086
GERAL,18,65910576,24077,24889,0.9852569220224734,0.00036529797585140207,0.049281314168377825,67175202,49086
GERAL,19,65861610,24298,25209,0.984893436029779,0.0003689250839753234,0.05201916495550993,67175202,49086
GERAL,20,65812103,28622,24957,0.9844651011393706,0.0004349048077068742,0.05475701574264202,67175202,49086
GERAL,21,65758524,32279,5708,0.9839818550586088,0.0004908717233373425,0.057494866529774126,67175202,49086
GERAL,22,65720537,27708,6885,0.9835670049906617,0.00042160337186532726,0.06023271731690623,67175202,49086
GERAL,23,65685944,23077,22028,0.9832214550237743,0.00035132326027011195,0.06297056810403832,67175202,49086
GERAL,24,65640839,22094,22849,0.9828905132631535,0.00033658923829416623,0.06570841889117043,67175202,49086
GERAL,25,65595896,22060,16697,0.9825599656825155,0.00033630152715651603,0.06844626967830253,67175202,49086
GERAL,26,65557139,22843,6917,0.9822175984340593,0.000348444125970781,0.07118412046543464,67175202,49086
GERAL,27,65527379,26130,7831,0.9818259248124562,0.00039876461410122936,0.07392197125256673,67175202,49086
GERAL,28,65493418,30146,3824,0.9813739996383969,0.0004602905287367961,0.07665982203969883,67175202,49086
GERAL,29,65459448,25834,4562,0.9809866939601294,0.0003946565513354161,0.07939767282683094,67175202,49086
GERAL,30,65429052,22079,17753,0.9806556605039829,0.0003374494865063917,0.08213552361396304,67175202,49086
GERAL,31,65389220,21419,21947,0.9803344353296753,0.0003275616378357167,0.08487337440109514,67175202,49086
GERAL,32,65345854,20784,23572,0.9800226286938039,0.00031806149476598774,0.08761122518822724,67175202,49086
GERAL,33,65301498,21523,23374,0.9796996188443609,0.0003295942766887216,0.09034907597535935,67175202,49086
