grupo,horizonte,dias,sobrevivencia_km,followup_suficiente,tempo_max_dias_grupo,n_inicial_grupo
2062,1_ano,365,0.9653985384482439,True,46171,16009755
2062,3_anos,1096,0.901873635958426,True,46171,16009755
2062,5_anos,1826,0.8577094975701083,True,46171,16009755
2062,10_anos,3652,0.768682339684578,True,46171,16009755
2135,1_ano,365,0.8637939395736193,True,30949,43345790
2135,3_anos,1096,0.7411385889772129,True,30949,43345790
2135,5_anos,1826,0.648992794614514,True,30949,43345790
2135,10_anos,3652,0.5032964494631674,True,30949,43345790
2240,1_ano,365,0.9752470414915946,True,39855,810518
2240,3_anos,1096,0.9190797555940169,True,39855,810518
2240,5_anos,1826,0.8755491493395534,True,39855,810518
2240,10_anos,3652,0.7866626965488734,True,39855,810518
3085,1_ano,365,0.9994392794180254,True,45729,332708
3085,3_anos,1096,0.9986016925997048,True,45729,332708
3085,5_anos,1826,0.9978663535113129,True,45729,332708
3085,10_anos,3652,0.9965310163573737,True,45729,332708
3999,1_ano,365,0.8556421002626892,True,45729,1422733
3999,3_anos,1096,0.8472063036325855,True,45729,1422733
3999,5_anos,1826,0.8382598593868741,True,45729,1422733
3999,10_anos,3652,0.7929289922270026,True,45729,1422733
4014,1_ano,365,0.9068880390300982,True,22019,215767
4014,3_anos,1096,0.7544023239913878,True,22019,215767
4014,5_anos,1826,0.620346892149495,True,22019,215767
4014,10_anos,3652,0.4956427252711263,True,22019,215767
4090,1_ano,365,0.0021549537277482846,True,8132,2937404
4090,3_anos,1096,0.002016100972080008,True,8132,2937404
4090,5_anos,1826,0.001900846344838113,True,8132,2937404
4090,10_anos,3652,0.0018960548704362885,True,8132,2937404
4120,1_ano,365,0.9703970711280403,True,17570,631820
4120,3_anos,1096,0.9294405613551708,True,17570,631820
4120,5_anos,1826,0.89602424532377,True,17570,631820
4120,10_anos,3652,0.8307144534884504,True,17570,631820
OUTRAS_NATUREZAS,1_ano,365,0.9589875891898512,True,49086,1468707
OUTRAS_NATUREZAS,3_anos,1096,0.8731953551055543,True,49086,1468707
OUTRAS_NATUREZAS,5_anos,1826,0.8116596092471491,True,49086,1468707
OUTRAS_NATUREZAS,10_anos,3652,0.7259754411199839,True,49086,1468707
