grupo,horizonte,dias,sobrevivencia_km,followup_suficiente,tempo_max_dias_grupo,n_inicial_grupo
DEMAIS,1_ano,365,0.7473323688259759,True,49086,14768052
DEMAIS,3_anos,1096,0.6820445836767545,True,49086,14768052
DEMAIS,5_anos,1826,0.6409748307782924,True,49086,14768052
DEMAIS,10_anos,3652,0.568906469609931,True,49086,14768052
EMPRESA DE PEQUENO PORTE,1_ano,365,0.968901622049764,True,38644,2017732
EMPRESA DE PEQUENO PORTE,3_anos,1096,0.9163621591203878,True,38644,2017732
EMPRESA DE PEQUENO PORTE,5_anos,1826,0.8796164504899502,True,38644,2017732
EMPRESA DE PEQUENO PORTE,10_anos,3652,0.8137877281481632,True,38644,2017732
MICRO EMPRESA,1_ano,365,0.8822696489835767,True,39855,50386301
MICRO EMPRESA,3_anos,1096,0.7734256580604987,True,39855,50386301
MICRO EMPRESA,5_anos,1826,0.6898521127625324,True,39855,50386301
MICRO EMPRESA,10_anos,3652,0.5545349943177939,True,39855,50386301
PORTE_NAO_MAPEADO,1_ano,365,,False,312,3117
PORTE_NAO_MAPEADO,3_anos,1096,,False,312,3117
PORTE_NAO_MAPEADO,5_anos,1826,,False,312,3117
PORTE_NAO_MAPEADO,10_anos,3652,,False,312,3117
