grupo,horizonte,dias,sobrevivencia_km,followup_suficiente,tempo_max_dias_grupo,n_inicial_grupo
AC,1_ano,365,0.8077165296686926,True,22674,153774
AC,3_anos,1096,0.7431375620922258,True,22674,153774
AC,5_anos,1826,0.6882029252115524,True,22674,153774
AC,10_anos,3652,0.5977522017855825,True,22674,153774
AL,1_ano,365,0.8244497703890017,True,45726,643866
AL,3_anos,1096,0.7373666961476413,True,45726,643866
AL,5_anos,1826,0.6714973474716207,True,45726,643866
AL,10_anos,3652,0.5558785495010512,True,45726,643866
AM,1_ano,365,0.8351378212048638,True,30262,724259
AM,3_anos,1096,0.7684741002386106,True,30262,724259
AM,5_anos,1826,0.714434518813713,True,30262,724259
AM,10_anos,3652,0.6182263050715263,True,30262,724259
AP,1_ano,365,0.828265388371594,True,25453,146831
AP,3_anos,1096,0.7692062310460116,True,25453,146831
AP,5_anos,1826,0.7183331720841468,True,25453,146831
AP,10_anos,3652,0.6133739001098075,True,25453,146831
BA,1_ano,365,0.8393383638215083,True,45729,3335615
BA,3_anos,1096,0.7574726787430782,True,45729,3335615
BA,5_anos,1826,0.6932828842733256,True,45729,3335615
BA,10_anos,3652,0.5763310703459773,True,45729,3335615
CE,1_ano,365,0.848593276530388,True,45729,1910146
CE,3_anos,1096,0.7567853755917975,True,45729,1910146
CE,5_anos,1826,0.6861160067823976,True,45729,1910146
CE,10_anos,3652,0.572940157138811,True,45729,1910146
DF,1_ano,365,0.8744073617113532,True,45729,1171376
DF,3_anos,1096,0.7670263963935889,True,45729,1171376
DF,5_anos,1826,0.6882028633555087,True,45729,1171376
DF,10_anos,3652,0.5619919607637498,True,45729,1171376
ES,1_ano,365,0.853330015838906,True,42221,1415811
ES,3_anos,1096,0.7529321848339454,True,42221,1415811
ES,5_anos,1826,0.6763684133236658,True,42221,1415811
ES,10_anos,3652,0.5526731982770429,True,42221,1415811
EX,1_ano,365,0.9952259971430374,True,17219,169585
EX,3_anos,1096,0.9813340937451639,True,17219,169585
EX,5_anos,1826,0.9695958853920394,True,17219,169585
EX,10_anos,3652,0.9472798385750792,True,17219,169585
GO,1_ano,365,0.8413971353269943,True,45729,2437385
GO,3_anos,1096,0.744202115090429,True,45729,2437385
GO,5_anos,1826,0.6720385289224338,True,45729,2437385
GO,10_anos,3652,0.5561713835747315,True,45729,2437385
MA,1_ano,365,0.8075007252917551,True,44768,1008615
MA,3_anos,1096,0.7451114751043317,True,44768,1008615
MA,5_anos,1826,0.692451004012103,True,44768,1008615
MA,10_anos,3652,0.5965199853796632,True,44768,1008615
MG,1_ano,365,0.8286573969608344,True,49086,7326159
MG,3_anos,1096,0.719275424639288,True,49086,7326159
MG,5_anos,1826,0.6437603890482512,True,49086,7326159
MG,10_anos,3652,0.5291546285040182,True,49086,7326159
MS,1_ano,365,0.8564308949174664,True,33210,895727
MS,3_anos,1096,0.7697273394627894,True,33210,895727
MS,5_anos,1826,0.7045464452874853,True,33210,895727
MS,10_anos,3652,0.597286106785339,True,33210,895727
