grupo,n,taxa_evento,score_medio,roc_auc,pr_auc,brier,threshold_alto_risco,flagged_rate_alto_risco,precision_alto_risco,recall_alto_risco,f2_alto_risco,lift_alto_risco
SP,193606,0.0640940879931407,0.060362789894721505,0.7050489954768973,0.13627632002877535,0.05785758010934607,0.11677631578947369,0.09778622563350309,0.16897316712444538,0.2577967604158272,0.2332720802706802,2.6363300019578833
MG,66720,0.07432553956834533,0.06304324905637584,0.6848834966241975,0.14099341576635427,0.06671803854802927,0.11677631578947369,0.10133393285371703,0.17881970122762905,0.24379915305505143,0.22728127232394632,2.405898460558058
RJ,60318,0.06346364269372326,0.06352026684471203,0.680720152243034,0.11721410589478606,0.05789361128818804,0.11677631578947369,0.09479757286382175,0.1495278069254984,0.22335423197492163,0.20328102710413695,2.356117622291592
PR,44645,0.0688542949938403,0.06117609524231831,0.7030486812294875,0.14101137724748775,0.061867882202331595,0.11677631578947369,0.1012431403292642,0.1763274336283186,0.25927130774235524,0.236976688867745,2.560877773043684
RS,41967,0.06907808516215122,0.0589275314748967,0.6987499979250937,0.13614945504873313,0.06225728350088983,0.11677631578947369,0.09567040770128911,0.16811955168119552,0.23283890996895482,0.21619370956376913,2.4337610298050127
BA,32787,0.062067282764510324,0.060460955159027385,0.6971262930582648,0.1327566951351961,0.0562461851922158,0.11677631578947369,0.08677219629731296,0.17328646748681897,0.24226044226044227,0.22439690487027766,2.791913223336773
SC,31963,0.07489910208678785,0.06436833775567137,0.7019634392100398,0.14640242435851808,0.0668869812262076,0.11677631578947369,0.11597784938835529,0.173725384407877,0.26900584795321636,0.24241511706692764,2.3194588395275573
GO,23770,0.06798485485906605,0.06314445227159503,0.6917017701025316,0.13783660053359567,0.061282157676391155,0.11677631578947369,0.10879259570887674,0.1697602474864656,0.2716584158415842,0.2425414364640884,2.4970303729908956
PE,18968,0.06605862505272037,0.06107573427964422,0.6910558436213714,0.1290407964440551,0.059825771273015534,0.11677631578947369,0.09299873471109237,0.1660997732426304,0.2338387869114126,0.21620425029515938,2.5144297676506095
CE,18824,0.06783892902677433,0.06013120475341304,0.6861866545778674,0.1305036394879034,0.06141788028815553,0.11677631578947369,0.0904164895877603,0.16509988249118684,0.22004698512137824,0.20631424375917767,2.4337041409664066
